longitude,latitude
-82.858,-55.192
94.853,-55.182
9.967,-55.15
-31.092,-55.137
9.948,-55.118
-55.583,-55.1
126.073,-55.098
8.0,-55.085
-149.767,-55.083
114.118,-55.08
110.018,-55.07
-89.745,-55.068
114.152,-55.062
-44.667,-55.05
-14.767,-55.033
-44.392,-55.025
-3.002,-55.003
-135.0,-55.0
-105.383,-55.0
-99.25,-55.0
-94.767,-55.0
-40.017,-55.0
-40.05,-54.983
-38.008,-54.967
-28.4,-54.967
-37.983,-54.95
-33.767,-54.95
-140.122,-54.945
-17.933,-54.943
-38.367,-54.942
-120.0,-54.937
-159.87,-54.908
-8.718,-54.908
-114.703,-54.907
-25.005,-54.873
-76.75,-54.867
-17.952,-54.857
82.842,-54.85
90.14,-54.833
-175.13,-54.818
-3.33,-54.792
-46.037,-54.783
-2.96,-54.78
-3.518,-54.753
-2.085,-54.702
111.965,-54.697
-25.783,-54.65
0.08,-54.592
125.333,-54.533
10.298,-54.52
119.933,-54.483
122.908,-54.475
-1.355,-54.423
-129.627,-54.417
100.027,-54.387
-27.417,-54.3
-27.45,-54.233
2.06,-54.2
-44.792,-54.183
-74.407,-54.143
-45.017,-54.117
-119.95,-54.083
119.773,-54.018
-120.0,-54.017
-49.762,-54.017
19.792,-54.01
-24.195,-54.008
-75.732,-53.998
-176.667,-53.9932
70.75,-53.985
-33.767,-53.983
104.937,-53.978
104.963,-53.978
-159.98,-53.895
-29.427,-53.882
-4.93,-53.88
-8.217,-53.805
-8.218,-53.802
83.83,-53.748
-4.865,-53.722
10.4,-53.712
-102.933,-53.683
95.128,-53.628
95.05,-53.625
0.1,-53.6
-76.717,-53.597
10.818,-53.52
36.642,-53.518
111.333,-53.495
114.257,-53.437
6.66,-53.382
-76.592,-53.378
70.975,-53.355
71.1,-53.353
71.1,-53.352
72.182,-53.352
70.93,-53.35
71.657,-53.34
72.24,-53.333
72.943,-53.33
71.718,-53.298
71.802,-53.297
71.917,-53.293
116.958,-53.193
-0.355,-53.182
7.987,-53.118
11.213,-53.112
-40.833,-53.1
-40.0,-53.1
-22.955,-53.085
-78.952,-53.065
-75.717,-53.05
-174.688,-53.042
-37.725,-53.042
119.735,-53.038
110.047,-53.037
123.933,-53.015
20.093,-53.0
126.137,-52.975
-145.1,-52.967
72.852,-52.965
72.915,-52.948
116.992,-52.94
-33.85,-52.933
72.917,-52.933
-33.777,-52.797
72.403,-52.787
90.008,-52.783
72.378,-52.777
-75.922,-52.75
-75.637,-52.703
-42.098,-52.688
-75.405,-52.65
-0.125,-52.627
-178.95,-52.617
-27.273,-52.592
-125.533,-52.55
11.572,-52.527
114.09,-52.483
-76.717,-52.442
-42.175,-52.43
-36.93,-52.413
99.82,-52.36
6.5,-52.328
-23.645,-52.282
9.472,-52.212
-32.633,-52.207
54.462,-52.203
-22.68,-52.105
84.547,-52.083
105.01,-52.022
20.472,-52.018
-120.05,-52.017
-21.702,-51.993
4.522,-51.985
4.5163,-51.9843
110.473,-51.978
-14.42,-51.958
110.44,-51.957
-99.717,-51.95
-39.987,-51.93
-159.908,-51.913
-33.807,-51.887
-33.907,-51.837
-33.655,-51.787
12.052,-51.758
-34.025,-51.757
100.057,-51.695
-27.4,-51.615
78.968,-51.58
78.937,-51.557
